word,dat_frequency,mean_score,category,umap_x,umap_y
зпппа,2,96.39029729500001,UNCATEGORIZED,7.415927,2.6426742
хэллоуин,1,89.20595192,UNCATEGORIZED,7.2186375,8.021149
горчичник,1,85.41099746,UNCATEGORIZED,5.012447,3.812829
фан,1,85.41099746,UNCATEGORIZED,0.10205683,6.3026023
гравировка,4,91.41171911499998,UNCATEGORIZED,5.4764752,4.127086
чистоплюй,1,80.50180088,UNCATEGORIZED,1.1061139,9.612691
метеорология,1,94.00666288,UNCATEGORIZED,6.756383,4.5052853
сталкинг,1,94.00666288,UNCATEGORIZED,8.084017,4.5896316
вечеря,2,93.793501735,UNCATEGORIZED,7.351951,6.978234
книгопечатание,1,82.70462462,UNCATEGORIZED,6.445806,4.7046547
домохозяйство,1,93.58034059,UNCATEGORIZED,8.548782,4.593723
виктори,1,88.53036189,UNCATEGORIZED,1.6994332,6.6647644
хель,1,92.03636361,UNCATEGORIZED,1.5105704,7.7286434
кочегарка,1,84.73865611,UNCATEGORIZED,4.169055,6.0809336
европ,1,84.73865611,UNCATEGORIZED,5.288639,2.5629833
силач,1,84.73865611,UNCATEGORIZED,1.8647139,9.247772
мультя,1,85.68828624,UNCATEGORIZED,4.8291254,4.15062
увал,2,91.89014928,UNCATEGORIZED,4.2676353,5.6509523
чернильница,1,89.62994796,UNCATEGORIZED,3.2314844,4.4575706
австралиец,2,87.93300406,UNCATEGORIZED,1.5361491,9.0093155
тройняшка,1,97.28148181,UNCATEGORIZED,6.0151525,3.1962132
хрип,1,91.10276244,UNCATEGORIZED,5.72588,5.9442096
цинизм,1,81.3861169,UNCATEGORIZED,8.973002,5.308627
квитанция,2,90.952290605,UNCATEGORIZED,6.387612,7.5189867
англия,2,93.85505914999999,UNCATEGORIZED,5.636961,7.7296677
нарком,1,95.53649623,UNCATEGORIZED,3.5411818,9.207527
гит,1,90.35859718,UNCATEGORIZED,0.54767966,6.627383
байон,1,94.25358682,UNCATEGORIZED,1.0875585,6.8905234
курильня,1,86.734129,UNCATEGORIZED,4.3245244,3.5387287
концерн,2,90.804276395,UNCATEGORIZED,5.1072855,7.8348403
ругательство,2,86.170783055,UNCATEGORIZED,6.40223,5.947396
марабу,1,68.52156754,UNCATEGORIZED,-0.10773411,7.994493
переписка,1,91.27911982,UNCATEGORIZED,6.779367,6.7622633
бахвальство,1,91.27911982,UNCATEGORIZED,8.690532,5.4530787
поэтесса,1,93.39472358,UNCATEGORIZED,2.3667002,7.768155
горемыка,1,89.95372625,UNCATEGORIZED,1.0318147,9.736623
мейнстрим,1,86.15529067,UNCATEGORIZED,7.769674,4.6389165
колон,1,92.33640139,UNCATEGORIZED,0.84702486,7.0767336
обещание,1,95.52836426,UNCATEGORIZED,7.7050104,7.5306945
обыск,1,99.62876557,UNCATEGORIZED,7.1785088,7.4130588
агентство,1,99.62876557,UNCATEGORIZED,5.7221684,8.065362
оперуполномоченный,1,95.37350929,UNCATEGORIZED,3.3159964,9.338219
функциональность,1,89.18603929,UNCATEGORIZED,9.450962,4.77331
паркинг,3,84.49019912666667,UNCATEGORIZED,3.6450298,6.659038
санузел,4,85.443416785,UNCATEGORIZED,3.908776,6.282169
фосфолипид,1,81.81855178,UNCATEGORIZED,6.027428,2.532631
релакс,2,86.42781275499999,UNCATEGORIZED,6.3846345,6.2465463
глумление,1,87.47659898,UNCATEGORIZED,8.695092,5.766894
говорение,1,88.14612394,UNCATEGORIZED,7.944825,5.3014793
горделивость,1,84.66408673,UNCATEGORIZED,9.346706,4.693672
отождествление,2,89.501819775,UNCATEGORIZED,8.393313,6.131177
расслабление,2,84.13820806999999,UNCATEGORIZED,6.951764,4.9706726
сосредоточение,1,83.31640399,UNCATEGORIZED,8.017073,6.2889757
моногамия,1,86.0964301,UNCATEGORIZED,8.027382,4.950216
ракитник,1,89.95012217,UNCATEGORIZED,2.0224867,2.2744591
анго,1,82.96107748,UNCATEGORIZED,1.192672,6.681833
обой,1,98.57624107,UNCATEGORIZED,4.9290786,4.219185
универ,1,98.57624107,UNCATEGORIZED,4.9746575,7.395948
грумера,1,92.95139978,UNCATEGORIZED,0.870924,6.9028745
едкость,2,93.00834752,UNCATEGORIZED,9.401675,4.242152
наг,1,92.95139978,UNCATEGORIZED,1.1199932,9.128915
найка,1,88.26965599,UNCATEGORIZED,1.0289687,6.5126853
умеренность,1,82.62583781,UNCATEGORIZED,9.757292,5.320003
испытатель,1,84.0255307,UNCATEGORIZED,2.8183553,9.793614
шпажка,1,93.07714304,UNCATEGORIZED,3.0315409,1.8408135
макрос,1,89.23605063,UNCATEGORIZED,0.62407476,6.8518224
шокер,1,94.32260578,UNCATEGORIZED,1.8157756,4.963451
шир,1,84.22350139,UNCATEGORIZED,0.4574988,7.1564536
ленк,1,86.99761463,UNCATEGORIZED,0.969075,6.920758
мортис,1,86.99761463,UNCATEGORIZED,0.9512731,7.1695743
андерграунд,3,89.42280693999999,UNCATEGORIZED,2.2129562,6.6111345
поко,1,96.63739571,UNCATEGORIZED,0.26406476,6.115385
подсластитель,1,78.07024362,UNCATEGORIZED,4.7723618,2.1792622
отречение,2,92.637969535,UNCATEGORIZED,8.670234,6.574326
приморье,1,91.7565699,UNCATEGORIZED,4.755316,6.340721
префектура,1,80.24544994,UNCATEGORIZED,4.858994,7.048292
гребенка,1,80.24544994,UNCATEGORIZED,3.0585685,3.820646
сладкое,2,90.71472471499999,UNCATEGORIZED,3.245417,1.9511588
оптимум,1,94.9341135,UNCATEGORIZED,7.4943385,4.617046
гемара,1,87.47799742,UNCATEGORIZED,6.1563525,6.7022963
сундучок,1,87.47799742,UNCATEGORIZED,2.645089,4.4675894
закуток,1,90.31916596,UNCATEGORIZED,3.9014165,6.217361
улия,2,91.853784405,UNCATEGORIZED,1.1057041,6.764222
зэк,3,90.14811900666666,UNCATEGORIZED,1.7452178,9.713695
ленинизм,2,93.360678355,UNCATEGORIZED,8.236509,4.729265
