word,dat_freq,corpus_freq,log_corpus_freq,zipf_freq,mean_score_contrib,in_vocab,dat_freq_rank,corpus_freq_rank
сантиметр,5,1.55e-06,-5.809668301829708,3.19,0.92498726,True,5709.0,5057.0
санузел,4,4.47e-07,-6.349692476868063,2.65,0.90867823,True,6612.0,8738.0
санэпидемстанция,1,6.31e-08,-7.199970640755866,1.8,0.84676576,True,11961.0,14606.0
сап,9,6.92e-07,-6.1598939055432425,2.84,0.9874807,True,3469.0,7371.0
сапер,8,3.98e-07,-6.400116927926312,2.6,0.932452,True,3876.0,9141.0
сапиенс,1,3.63e-07,-6.440093374963888,2.56,0.89839166,True,11961.0,9469.0
сапог,85,2.69e-06,-5.570247719997592,3.43,0.9448494,True,196.0,3684.0
сапонин,1,1.07e-08,-7.97061622231479,1.03,0.9706786,True,11961.0,16392.0
сапр,1,5.37e-07,-6.270025714300444,2.73,0.9338227,True,11961.0,8159.0
сапсан,5,8.13e-07,-6.089909454405932,2.91,0.9446118,True,5709.0,6868.0
сапфир,10,8.32e-07,-6.079876673709276,2.92,0.9495217,True,3149.0,6795.0
сарабанда,5,2.24e-08,-7.649751981665837,1.35,0.91063136,True,5709.0,15982.0
сарай,16,4.27e-06,-5.369572124974976,3.63,0.8910189,True,1928.0,2746.0
саранча,4,9.12e-07,-6.0400051616715835,2.96,0.9538221,True,6612.0,6513.0
сарат,3,3.16e-07,-6.5003129173815966,2.5,1.0128878,True,7747.0,9934.0
сарафан,7,6.61e-07,-6.179798540514359,2.82,0.9397377,True,4372.0,7514.0
сарацин,2,2.4e-07,-6.619788758288394,2.38,0.97941667,True,9435.0,10893.0
сарделька,8,1.15e-07,-6.939302159646388,2.06,0.9234052,True,3876.0,13121.0
сардина,4,1.29e-07,-6.889410289700751,2.11,0.84210473,True,6612.0,12813.0
саржа,2,4.27e-08,-7.369572124974976,1.63,0.92382544,True,9435.0,15265.0
сарказм,10,2.09e-06,-5.679853713888946,3.32,1.0015534,True,3149.0,4298.0
саркома,8,3.02e-07,-6.519993057042849,2.48,0.9254391,True,3876.0,10094.0
саркофаг,10,8.32e-07,-6.079876673709276,2.92,0.96152127,True,3149.0,6795.0
саронг,1,5.62e-08,-7.250263684430939,1.75,0.9642675,True,11961.0,14817.0
сас,1,1.66e-06,-5.779891911959945,3.22,0.9904997,True,11961.0,4864.0
саспенс,1,8.13e-08,-7.089909454405932,1.91,0.9579162,True,11961.0,14059.0
сатана,7,3.8e-06,-5.42021640338319,3.58,0.950051,True,4372.0,2988.0
сатанизм,2,2.57e-07,-6.590066876668706,2.41,0.93783885,True,9435.0,10658.0
сателлит,3,2.63e-07,-6.580044251510242,2.42,0.9597859,True,7747.0,10566.0
сатие,1,0.0,,0.0,0.93288565,True,11961.0,16422.0
сатин,6,6.61e-07,-6.179798540514359,2.82,0.94873595,True,4962.0,7514.0
сатир,1,4.47e-07,-6.349692476868063,2.65,0.9612681,True,11961.0,8738.0
сатира,5,1.86e-06,-5.730487055782084,3.27,0.9635931,True,5709.0,4579.0
сатисфакция,8,5.13e-08,-7.289882634888183,1.71,0.89454937,True,3876.0,14986.0
сатрап,2,1.15e-07,-6.939302159646388,2.06,0.9121403,True,9435.0,13121.0
сатура,2,0.0,,0.0,1.0204953,True,9435.0,16422.0
сатурналии,1,6.31e-08,-7.199970640755866,1.8,0.98984355,True,11961.0,14606.0
сауна,5,9.12e-07,-6.0400051616715835,2.96,0.936137,True,5709.0,6513.0
саунд,2,1.1e-06,-5.958607314841775,3.04,0.85450035,True,9435.0,5951.0
саундтрек,1,4.79e-06,-5.319664486585437,3.68,1.0020514,True,11961.0,2563.0
сафари,7,1.82e-06,-5.739928612014925,3.26,0.96304274,True,4372.0,4633.0
сахар,54,1.32e-05,-4.87942606879415,4.12,0.88334167,True,389.0,1231.0
сахарин,1,1.29e-07,-6.889410289700751,2.11,0.86600083,True,11961.0,12813.0
сахарница,2,8.91e-08,-7.050122295963125,1.95,0.78826326,True,9435.0,13822.0
сахароза,5,1.41e-07,-6.85078088734462,2.15,0.9509779,True,5709.0,12531.0
саше,5,2.14e-06,-5.669586226650809,3.33,1.0108842,True,5709.0,4240.0
сбербанк,2,1.07e-05,-4.97061622231479,4.03,1.0248047,True,9435.0,1479.0
сбитень,2,1.55e-07,-6.809668301829708,2.19,0.95035696,True,9435.0,12256.0
сбой,1,5.62e-06,-5.250263684430939,3.75,0.9985289,True,11961.0,2276.0
сбор,1,2.45e-05,-4.610833915635467,4.39,0.96047616,True,11961.0,714.0
сборище,1,1.91e-06,-5.718966632752273,3.28,0.9992256,True,11961.0,4522.0
сборка,2,4.07e-06,-5.39040559077478,3.61,0.9178205,True,9435.0,2831.0
сборник,1,4.68e-05,-4.329754146925876,4.67,0.98654795,True,11961.0,370.0
сброс,2,2.19e-06,-5.6595558851598815,3.34,0.9951084,True,9435.0,4172.0
сбруя,4,9.33e-08,-7.0301183562535,1.97,0.9767464,True,6612.0,13701.0
свадьба,23,1.95e-05,-4.709965388637482,4.29,0.9765665,True,1263.0,883.0
свалка,5,1.51e-06,-5.82102305270683,3.18,0.97818714,True,5709.0,5110.0
сварка,15,1.7e-06,-5.769551078621726,3.23,0.95849586,True,2073.0,4797.0
сварщик,3,5.75e-07,-6.2403321553103694,2.76,0.98899007,True,7747.0,7956.0
свастика,9,7.24e-07,-6.140261433802853,2.86,0.9504664,True,3469.0,7224.0
сват,5,5.37e-07,-6.270025714300444,2.73,0.9662934,True,5709.0,8159.0
сватовство,4,3.72e-07,-6.429457060118103,2.57,0.94030255,True,6612.0,9401.0
сватья,1,6.61e-08,-7.179798540514359,1.82,0.9410763,True,11961.0,14507.0
сваха,7,5.62e-07,-6.250263684430939,2.75,0.9256228,True,4372.0,8031.0
свая,6,1.74e-07,-6.7594507517174005,2.24,0.95939445,True,4962.0,11927.0
сведение,2,1.7e-06,-5.769551078621726,3.23,0.98502517,True,9435.0,4797.0
свежесть,7,2.04e-06,-5.690369832574102,3.31,0.98583275,True,4372.0,4362.0
свекла,40,2.29e-06,-5.640164517660112,3.36,0.8191583,True,606.0,4035.0
свекольник,2,5.89e-08,-7.229884705212898,1.77,0.83874017,True,9435.0,14721.0
свекровь,6,2e-06,-5.698970004336019,3.3,0.98599994,True,4962.0,4413.0
сверка,2,3.39e-07,-6.4698003017969175,2.53,0.9452223,True,9435.0,9689.0
сверкание,2,4.57e-08,-7.34008379993015,1.66,1.0279515,True,9435.0,15165.0
сверление,1,2.63e-07,-6.580044251510242,2.42,0.91462284,True,11961.0,10566.0
сверло,7,4.47e-07,-6.349692476868063,2.65,0.9427169,True,4372.0,8738.0
сверстник,1,1.23e-07,-6.910094888560602,2.09,1.0155693,True,11961.0,12932.0
сверхдержава,2,2.51e-07,-6.600326278518962,2.4,0.92179775,True,9435.0,10740.0
сверхпроводимость,1,2.19e-07,-6.6595558851598815,2.34,0.91547674,True,11961.0,11192.0
сверхпроводник,1,1e-07,-7.0,2.0,0.85087806,True,11961.0,13519.0
сверхразум,1,4.17e-08,-7.379863945026242,1.62,0.9123592,True,11961.0,15297.0
сверхчувствительность,1,3.31e-08,-7.480172006224281,1.52,0.93431467,True,11961.0,15585.0
сверчок,5,1.07e-06,-5.97061622231479,3.03,0.9254955,True,5709.0,6023.0
свершение,1,1.29e-07,-6.889410289700751,2.11,1.0147566,True,11961.0,12813.0
свет,166,0.000107,-3.9706162223147903,5.03,0.8981844,True,52.0,133.0
светик,1,5.5e-07,-6.259637310505756,2.74,0.95373374,True,11961.0,8101.0
светило,25,1.41e-06,-5.85078088734462,3.15,0.96318096,True,1133.0,5291.0
светильник,14,1.26e-06,-5.8996294548824375,3.1,0.9053383,True,2220.0,5582.0
светлица,1,7.08e-08,-7.149966742310231,1.85,1.022978,True,11961.0,14364.0
светлость,1,1.41e-06,-5.85078088734462,3.15,0.9944207,True,11961.0,5291.0
светлячок,4,6.31e-07,-6.199970640755866,2.8,0.96376354,True,6612.0,7658.0
светодиод,15,3.8e-07,-6.42021640338319,2.58,0.9519032,True,2073.0,9310.0
светопреставление,2,9.33e-08,-7.0301183562535,1.97,0.9342683,True,9435.0,13701.0
светотень,6,1.12e-07,-6.950781977329818,2.05,0.8996721,True,4962.0,13182.0
светофор,43,1.38e-06,-5.860120913598763,3.14,0.965817,True,547.0,5348.0
