timestamp,score,words,time_spent
2026-02-18T13:27:28.933Z,89.50527144,"сувенир, турбулентность, парус, лава, скалка, дог, полымя",147
2026-02-18T13:27:50.926Z,89.45545467,"колодец, азот, планета, букварь, борода, зомби, жопа",100
2026-02-18T13:28:03.300Z,92.23908767,"зануда, верба, стол, жизнь, кошка, мозжечок, шарф",49
2026-02-18T13:28:22.454Z,86.41705213,"человек, людь, монстр, страх, хоррор, игра, романтика",103
2026-02-18T13:28:32.576Z,84.42330235,"кровать, корабль, кот, мяч, кастрюля, кабель, пассатижи",70
2026-02-18T13:29:14.777Z,96.0498941,"собака, хрящ, амбивалентность, аншлаг, кактус, дно, клепка",72
2026-02-18T13:29:26.143Z,89.97926656,"корова, аншлаг, слово, флегмона, карбюратор, стетоскоп, шерсть",104
2026-02-18T13:29:29.282Z,87.49997062,"крыша, блоха, стул, очередь, брешь, воронка, жуть",45
2026-02-18T13:29:58.442Z,94.26645241,"соловей, полоса, бетон, гардения, левизна, стенография, чипсы",116
2026-02-18T13:30:00.823Z,91.56893461,"повар, лужа, пинцет, краб, зомби, квадрат, дух",70
2026-02-18T13:30:08.365Z,82.32994467,"кол, дон, капля, умница, кошка, голос, язва",93
2026-02-18T13:30:08.848Z,92.75465981,"монпансье, диагноз, заблуждение, корнеплод, твист, астролябия, дубль",164
2026-02-18T13:30:46.213Z,94.71669011,"понос, иголка, сеньор, локация, тварь, призма, кружево",56
2026-02-18T13:30:50.273Z,79.90085391,"гнев, радость, небо, умение, тревога, скольжение, змея",58
2026-02-18T13:31:20.967Z,96.00338957,"солнце, талант, свобода, визуал, парча, креветка, дезинфекция",76
2026-02-18T13:31:22.689Z,88.18921081,"яблоко, курица, общество, философия, лобзик, город, суббота",89
2026-02-18T13:31:37.150Z,91.04715811,"лес, слово, миска, доход, взрыв, пример, антология",86
2026-02-18T13:31:48.166Z,87.14411606,"сигарета, солнце, рыба, скотч, червяк, программа, кирпич",110
2026-02-18T13:32:04.101Z,94.96942335,"трагедия, пульт, сноровка, оппозиция, макароны, тригонометрия, пугало",141
2026-02-18T13:32:50.948Z,88.27803076,"судорога, пристрастие, нарратив, перпендикуляр, бумеранг, сальса, оповещение",132
2026-02-18T13:33:01.995Z,82.8939378,"скорпион, комета, шапка, всплеск, рифма, свет, тьма",162
2026-02-18T13:33:31.994Z,86.52532698,"конвергенция, сука, томление, несушка, гастрит, монополия, фуэте",170
2026-02-18T13:34:44.082Z,90.86809572,"лоно, рвач, кулек, трансцендентность, космос, клаустрофобия, рондо",95
2026-02-18T13:34:57.764Z,76.28477717,"яблоко, велосипед, собака, стул, нож, потолок, схема",64
2026-02-18T13:35:12.592Z,92.9741037,"космос, пук, сук, глюк, хрюк, задача, отдача",72
2026-02-18T13:35:14.678Z,97.08336565,"морковь, изоляция, крик, предлог, липосакция, недоверие, мысль",290
2026-02-18T13:35:19.452Z,86.0589872,"лобзик, марафет, косинус, волшебство, философствование, сотейник, субботник",44
2026-02-18T13:35:34.054Z,91.46583357,"печень, сон, сила, шлагбаум, шопот, плов, зверь",55
2026-02-18T13:35:35.075Z,90.24632017,"стол, атмосфера, биология, амфора, планета, косточка, гребень",88
2026-02-18T13:35:50.685Z,91.72276317,"клиент, метро, женьшень, панда, юбка, графика, спаржа",59
2026-02-18T13:36:30.022Z,87.76670605,"полтергейст, свора, портупея, кошмар, секс, баттерфляй, кошка",62
2026-02-18T13:36:43.070Z,89.02136582,"волшебство, лобзик, абориген, кантата, астролябия, налог, бультерьер",58
2026-02-18T13:36:47.429Z,84.51163388,"шабаш, хлеб, мандолина, конек, бумеранг, глина, табак",70
2026-02-18T13:37:33.980Z,77.82475096,"поле, стол, космос, мысль, компьютер, палка, море",48
2026-02-18T13:37:51.490Z,95.64488913,"корова, синева, интеграл, ремонт, звонок, любовь, плюшка",141
2026-02-18T13:38:09.031Z,91.07634509,"август, лось, вулкан, комета, кризис, совок, квиддич",100
2026-02-18T13:38:14.824Z,86.24520015,"слон, лампа, пушка, эмоция, гонка, субстанция, голос",402
2026-02-18T13:38:24.635Z,92.22529744,"коммутатор, трикотаж, ракетка, глаз, алкоголь, свинопас, свищ",150
2026-02-18T13:38:31.538Z,85.40314156,"борщевик, большевик, артерия, хромота, напильник, агония, виньетка",119
2026-02-18T13:38:32.198Z,86.77128479,"дифракция, сука, томление, несушка, гастрит, фуэте, монополия",123
2026-02-18T13:38:38.351Z,85.40556754,"зима, печень, художник, похлебка, красота, школа, огонь",81
2026-02-18T13:38:40.182Z,93.82520425,"дартан, кинк, бил, кома, жертвоприношение, алчность, зер",91
2026-02-18T13:38:59.863Z,95.03230674,"монумент, ясли, палец, буква, сознание, экватор, шестеренка",121
2026-02-18T13:39:10.640Z,97.91332501,"макароны, сережка, управление, просветление, скала, бурелом, священник",169
2026-02-18T13:39:35.959Z,86.9899661,"понос, белка, шпага, агат, манго, люстра, ампир",47
2026-02-18T13:39:38.678Z,96.30909543,"космос, хлеб, синергия, дума, свежесть, мандолина, рупия",74
2026-02-18T13:39:43.081Z,96.27504676,"солнце, проблема, конгломерат, сенсибилизация, лакмус, феерия, кузнец",97
2026-02-18T13:39:44.751Z,78.14996523,"секс, наркотик, рок, портвейн, сигарета, сиг, таблетка",85
2026-02-18T13:40:05.427Z,87.25738805,"микроскоп, революция, арбуз, локомотив, философ, цемент, радуга",74
2026-02-18T13:40:23.950Z,77.89430402,"асбест, глухота, афалина, счастие, складчина, маркировка, лобзик",91
2026-02-18T13:40:31.364Z,87.08091215,"планета, телефон, крем, обложка, щипец, икона, печать",100
